Основное средство;Инвентарный номер;Подразделение;Дата принятия к учету
Стойка менеджера;КЗН000170;КЗН Административно-хозяйственный отдел;01.10.2011
ИБП APC Smart-UPS SRT SRT5KRMXLI 4500Вт 5000ВА черный);УПК007950;КЗН Группа ИТ;21.06.2019
Сервер IBMx3650M2 XDP-2.26 3x2048/5x300;КЗН000159;КЗН Группа ИТ;01.10.2011
Коммутатор Huawei S5720-28X-LI-AC(24 Ethernet 10/100/1000 ports,4 10 Gig SFP+,AC power support);БП-000942;КЗН Группа ИТ;28.12.2022
Сервер IBMx3630M3 2хXenon E5506 QC 2x4Gb 4x2TbHS SAS HDD512Mb;КЗН000198;КЗН Группа ИТ;12.04.2012
Сервер Proliant DL380p Ланит;УПК007198;КЗН Группа ИТ;10.06.2015
Маршрутизатор 20xGE FG-100E;УПК008416;КЗН Группа ИТ;09.07.2021
Маршрутизатор 20xGE FG-100E;УПК008415;КЗН Группа ИТ;09.07.2021
ИБП APC Smart-UPS SRT SRT5KRMXLI 4500Вт 5000ВА черный);УПК007951;КЗН Группа ИТ;21.06.2019
Сервер Prolliant DL380р Gen8 T5-2609 Rack(2U)/Xeon4C компл сервер 1С НН;УПК006836;КЗН Группа ИТ;25.06.2013
Сервер Proliant DL380p Ланит;УПК007060;КЗН Группа ИТ;13.10.2014
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001511;КЗН Группа ИТ;31.10.2024
Сервер IBMx3650M2 XDP-2.26 8x2048/5x136;КЗН000162;КЗН Группа ИТ;01.10.2011
Сервер IBMx3650M2 XDP-2.26 6x2048/2x136;КЗН000161;КЗН Группа ИТ;01.10.2011
Сервер IBMx3650M2 XDP-2.26 4x2048/2x300;КЗН000160;КЗН Группа ИТ;01.10.2011
Сервер Prolliant DL380р Gen8 T5-2609 Rack(2U)/Xeon4C компл сервер AD НН;УПК006837;КЗН Группа ИТ;25.06.2013
"Моноблок (P3G45EA#ACB) HP Envy 24-n000ur 23"" IPS WLED QHD touch, Core i5-6400T, 8Gb (2x4Gb), 1 Tb+8G";УПК007324;КЗН Группа ИТ;25.03.2016
Лифт пассажирский OTIS 2000R;КЗН000196;КЗН Отдел эксплуатации и технического обслуживания зданий и сооружений;07.12.2011
Трансфориаторная подстанция (г. Казань)-неотделимое улучшение;УПК002269;КЗН Отдел эксплуатации и технического обслуживания зданий и сооружений;31.12.2010
Котел Эван С1-30 с доп.оборудованием;КЗН000219;КЗН Отдел эксплуатации и технического обслуживания зданий и сооружений;08.07.2016
Котел Эван С1-30 с доп.оборудованием;КЗН000220;КЗН Отдел эксплуатации и технического обслуживания зданий и сооружений;08.07.2016
Томограф компьютерный BrightSpeed, модели Elite с принадлежностями;КЗН000139;КЗН Отделение лучевой диагностики;26.07.2011
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001512;КЗН Отделение лучевой диагностики;31.10.2024
Система ультразвуковая диагностическая медицинская LOGIQ S8 with XDClear Console Europe;БП-001060;КЗН Отделение лучевой диагностики;26.04.2023
Установка ультрозвуковая диагностическая медицинская Logiq Book XP с принадлежностями;КЗН000185;КЗН Отделение лучевой диагностики;07.12.2011
Аппарат радиовизиографический SnapShot c №1;КЗН000101;КЗН Отделение лучевой диагностики;26.07.2011
